Time[s]	Pressure[mbar]	Position_smooth_splines [deg]	Velocity[deg\s]	Aceleration[deg\s2]	Position_original [deg]
0.00795	0.01998523	0.00058596515	0.15004758	19.868238	0.003582
0.008	0.00666223000000001	0.00059349237	0.15104131	19.880745	0.003582
0.00805	-0.11325177	0.00060106929	0.15203566	19.893252	0.003582
0.0081	-0.01998577	0.00060869595	0.15303063	19.905759	0.003582
0.00815	0.07328123	0.00061637237	0.15402624	19.918267	0.003582
0.0082	-0.00666176999999999	0.00062409858	0.15502246	19.930774	0.003582
0.00825	-0.00666176999999999	0.00063187462	0.15601931	19.943281	0.003582
0.0083	-0.07328077	0.00063970052	0.15701679	19.955788	0.003582
0.00835	0.00666223000000001	0.00064757631	0.15801489	19.968296	0.003582
0.0084	0.07328123	0.00065550202	0.15901362	19.980803	0.003582
0.00845	-0.00666176999999999	0.00066347768	0.16001297	19.99331	0.003582
0.0085	-0.07328077	0.00067150333	0.16101295	20.005817	0.004777
0.00855	-0.04663277	0.00067957899	0.16201355	20.018325	0.004777
0.0086	0.01998523	0.0006877047	0.16301478	20.030832	0.004777
0.00865	-0.01998577	0.00069588048	0.16401664	20.043339	0.004777
0.0087	-0.04663277	0.00070410637	0.16501912	20.055846	0.004777
0.00875	-0.01998577	0.0007123824	0.16602222	20.068354	0.004777
0.0088	0.04663323	0.0007207086	0.16702595	20.080861	0.004777
0.00885	-0.00666176999999999	0.00072908501	0.16803031	20.093368	0.004777
0.0089	0.04663323	0.00073751164	0.16903529	20.105876	0.004777
0.00895	-0.07328077	0.00074598855	0.17004089	20.118383	0.004777
0.009	-0.00666176999999999	0.00075451574	0.17104713	20.13089	0.004777
0.00905	0.03330923	0.00076309327	0.17205398	20.143397	0.004777
0.0091	0.01998523	0.00077172115	0.17306147	20.155905	0.004777
0.00915	-0.09992877	0.00078039943	0.17406957	20.168412	0.004777
0.0092	-0.05995677	0.00078912812	0.17507831	20.180919	0.004777
0.00925	0.09992823	0.00079790727	0.17608767	20.193426	0.004777
0.0093	-0.03330977	0.0008067369	0.17709765	20.205934	0.004777
0.00935	-0.04663277	0.00081561704	0.17810826	20.218441	0.004777
0.0094	-0.08660477	0.00082454773	0.17911949	20.230948	0.004777
0.00945	0.00666223000000001	0.000833529	0.18013135	20.243455	0.004777
0.0095	0.04663323	0.00084256088	0.18114384	20.255963	0.004777
0.00955	-0.00666176999999999	0.0008516434	0.18215695	20.26847	0.004777
0.0096	-0.12657577	0.00086077659	0.18317069	20.280977	0.004777
0.00965	0.00666223000000001	0.00086996048	0.18418505	20.293485	0.004777
0.0097	0.00666223000000001	0.0008791951	0.18520004	20.305992	0.004777
0.00975	-0.01998577	0.00088848049	0.18621565	20.318499	0.004777
0.0098	-0.08660477	0.00089781668	0.18723189	20.331006	0.005971
0.00985	-0.05995677	0.00090720369	0.18824875	20.343514	0.005971
0.0099	0.01998523	0.00091664156	0.18926624	20.356021	0.005971
0.00995	-0.01998577	0.00092613032	0.19028435	20.368528	0.005971
0.01	-0.05995677	0.00093567001	0.19130309	20.381035	0.005971
0.01005	-0.09992877	0.00094526064	0.19232245	20.393543	0.005971
0.0101	-0.04663277	0.00095490226	0.19334244	20.40605	0.005971
0.01015	-0.01998577	0.0009645949	0.19436306	20.418557	0.005971
0.0102	-0.05995677	0.00097433858	0.1953843	20.431064	0.005971
0.01025	-0.11325177	0.00098413334	0.19640617	20.443572	0.005971
0.0103	-0.04663277	0.00099397921	0.19742866	20.456079	0.005971
0.01035	0.03330923	0.0010038762	0.19845177	20.468586	0.005971
0.0104	-0.04663277	0.0010138244	0.19947552	20.481093	0.005971
0.01045	-0.03330977	0.0010238238	0.20049988	20.493601	0.005971
0.0105	-0.04663277	0.0010338744	0.20152488	20.506108	0.005971
0.01055	0.01998523	0.0010439763	0.20255049	20.518615	0.005971
0.0106	-0.00666176999999999	0.0010541295	0.20357674	20.531123	0.005971
0.01065	-0.01998577	0.001064334	0.20460361	20.54363	0.005971
0.0107	-0.12657577	0.0010745898	0.2056311	20.556137	0.005971
0.01075	-0.05995677	0.0010848971	0.20665922	20.568644	0.005971
0.0108	0.00666223000000001	0.0010952558	0.20768796	20.581152	0.005971
0.01085	-0.00666176999999999	0.0011056659	0.20871733	20.593659	0.005971
0.0109	-0.01998577	0.0011161275	0.20974733	20.606166	0.005971
0.01095	-0.04663277	0.0011266406	0.21077795	20.618673	0.005971
0.011	0.04663323	0.0011372053	0.2118092	20.631181	0.005971
0.01105	-0.03330977	0.0011478216	0.21284107	20.643688	0.005971
0.0111	-0.00666176999999999	0.0011584894	0.21387357	20.656195	0.005971
0.01115	-0.04663277	0.0011692089	0.21490669	20.668702	0.005971
0.0112	-0.03330977	0.0011799801	0.21594044	20.68121	0.005971
0.01125	0.01998523	0.001190803	0.21697481	20.693717	0.005971
0.0113	-0.01998577	0.0012016776	0.21800981	20.706224	0.005971
0.01135	-0.09992877	0.001212604	0.21904543	20.718731	0.005971
0.0114	-0.03330977	0.0012235821	0.22008168	20.731239	0.007165
0.01145	0.11325223	0.0012346121	0.22111856	20.743746	0.007165
0.0115	0.01998523	0.001245694	0.22215606	20.756253	0.007165
0.01155	0.03330923	0.0012568278	0.22319418	20.768761	0.007165
0.0116	-0.03330977	0.0012680134	0.22423293	20.781268	0.007165
0.01165	0.07328123	0.0012792511	0.22527231	20.793775	0.007165
0.0117	0.04663323	0.0012905407	0.22631231	20.806282	0.007165
0.01175	0.04663323	0.0013018823	0.22735294	20.81879	0.007165
0.0118	-0.12657577	0.001313276	0.22839419	20.831297	0.007165
0.01185	-0.01998577	0.0013247217	0.22943607	20.843804	0.007165
0.0119	0.03330923	0.0013362196	0.23047857	20.856311	0.007165
0.01195	0.03330923	0.0013477696	0.2315217	20.868819	0.007165
0.012	-0.04663277	0.0013593718	0.23256545	20.881326	0.007165
0.01205	-0.00666176999999999	0.0013710262	0.23360983	20.893833	0.007165
0.0121	0.08660423	0.0013827328	0.23465483	20.90634	0.007165
0.01215	-0.01998577	0.0013944917	0.23570046	20.918848	0.007165
0.0122	0.00666223000000001	0.0014063028	0.23674672	20.931355	0.007165
0.01225	-0.04663277	0.0014181663	0.2377936	20.943862	0.007165
0.0123	-0.09992877	0.0014300822	0.2388411	20.95637	0.007165
0.01235	0.00666223000000001	0.0014420505	0.23988924	20.968877	0.007165
0.0124	-0.05995677	0.0014540711	0.24093799	20.981384	0.007165
0.01245	-0.09992877	0.0014661443	0.24198737	20.993891	0.007165
0.0125	-0.01998577	0.0014782699	0.24303738	21.006399	0.007165
0.01255	0.09992823	0.001490448	0.24408801	21.018906	0.007165
0.0126	0.00666223000000001	0.0015026787	0.24513927	21.031413	0.007165
0.01265	-0.01998577	0.001514962	0.24619116	21.04392	0.007165
0.0127	-0.00666176999999999	0.0015272978	0.24724366	21.056428	0.007165
0.01275	0.04663323	0.0015396863	0.2482968	21.068935	0.008359
0.0128	0.04663323	0.0015521275	0.24935056	21.081442	0.008359
0.01285	0.03330923	0.0015646214	0.25040494	21.093949	0.008359
0.0129	-0.08660477	0.001577168	0.25145995	21.106457	0.008359
0.01295	0.01998523	0.0015897674	0.25251559	21.118964	0.008359
0.013	0.07328123	0.0016024196	0.25357185	21.131471	0.008359
0.01305	-0.08660477	0.0016151246	0.25462874	21.143978	0.008359
0.0131	-0.00666176999999999	0.0016278825	0.25568625	21.156486	0.008359
0.01315	-0.03330977	0.0016406932	0.25674438	21.168993	0.008359
0.0132	0.11325223	0.0016535569	0.25780315	21.1815	0.008359
0.01325	0.04663323	0.0016664736	0.25886253	21.194008	0.008359
0.0133	0.00666223000000001	0.0016794432	0.25992255	21.206515	0.008359
0.01335	-0.03330977	0.0016924658	0.26098319	21.219022	0.008359
0.0134	-0.00666176999999999	0.0017055415	0.26204445	21.231529	0.008359
0.01345	0.07328123	0.0017186703	0.26310634	21.244037	0.008359
0.0135	0.01998523	0.0017318522	0.26416885	21.256544	0.008359
0.01355	-0.08660477	0.0017450872	0.26523199	21.269051	0.008359
0.0136	0.01998523	0.0017583754	0.26629576	21.281558	0.008359
0.01365	0.07328123	0.0017717168	0.26736015	21.294066	0.008359
0.0137	0.04663323	0.0017851114	0.26842516	21.306573	0.008359
0.01375	-0.03330977	0.0017985593	0.26949081	21.31908	0.008359
0.0138	-0.04663277	0.0018120605	0.27055707	21.331587	0.008359
0.01385	0.07328123	0.001825615	0.27162396	21.344095	0.008359
0.0139	0.03330923	0.0018392229	0.27269148	21.356602	0.008359
0.01395	0.03330923	0.0018528842	0.27375962	21.369109	0.008359
0.014	-0.05995677	0.0018665989	0.27482839	21.381617	0.008359
0.01405	0.04663323	0.001880367	0.27589779	21.394124	0.009553
0.0141	0.07328123	0.0018941887	0.27696781	21.406631	0.009553
0.01415	0.01998523	0.0019080638	0.27803845	21.419138	0.009553
0.0142	-0.03330977	0.0019219925	0.27910972	21.431646	0.009553
0.01425	0.00666223000000001	0.0019359748	0.28018161	21.444153	0.009553
0.0143	0.11325223	0.0019500107	0.28125413	21.45666	0.009553
0.01435	0.03330923	0.0019641002	0.28232728	21.469167	0.009553
0.0144	0.01998523	0.0019782434	0.28340105	21.481675	0.009553
0.01445	-0.00666176999999999	0.0019924403	0.28447545	21.494182	0.009553
