#############################################################
#                                                           #
#    #    ##   #  #   #                           #         #
#   # #  #  #  #  #  # #                          #         #
#  ##### #  #  #  # #####  ##  ###  #  #  ## ###  ###       #
#  #   # #  #  #  # #   # #  # #  # #  # #   #  # #  #      #
#  #   # #  #  #  # #   # #  # #  # #  #   # #  # #  #      #
#  #   #  ## #  ##  #   #  ### ###   ### ##  ###  #  #      #
#                            # #             #              #
#                          ##  #             #              #
#                                                           #
#############################################################
-0.5 -0.034897860680044676, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.030425724725045095, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.025953588770045513, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.02148145281504593, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.01700931686004635, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.01253718090504677, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.00806504495004719, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 -0.003592908995047611, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.0008792269599519689, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.005351362914951549, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.009823498869951128, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.014295634824950708, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.018767770779950288, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.02323990673494987, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.02771204268994945, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.03218417864494903, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.036656314599948614, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.041128450554948195, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.04560058650994778, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.05007272246494736, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.05454485841994694, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.05901699437494652, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.0634891303299461, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.06796126628494568, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.07243340223994527, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.07690553819494485, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.08137767414994443, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.08584981010494401, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.09032194605994359, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.09479408201494317, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.09926621796994275, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.10373835392494234, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.10821048987994192, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.1126826258349415, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.11715476178994108, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.12162689774494066, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.12609903369994024, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.1305711696549398, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.13504330560993938, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.13951544156493895, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
-0.5 0.14398757751993851, 0.0 0.0, 0.0 0.0, 0.0 0.0, 1.0 0.0, 227272.7272727273, 0.0, 2e-05, 1
