VARIABLES = t,Cd_p,Cd_v
ZONE
 1.182000E+000 1.851026E+000 4.240721E-001
 1.185000E+000 1.894259E+000 4.237958E-001
 1.188000E+000 1.889957E+000 4.238490E-001
 1.191000E+000 1.762349E+000 4.247079E-001
 1.194000E+000 1.730695E+000 4.251923E-001
 1.197000E+000 1.837535E+000 4.170081E-001
 1.200000E+000 1.861229E+000 4.161662E-001
 1.203000E+000 1.923659E+000 4.162077E-001
 1.206000E+000 1.806781E+000 4.167665E-001
 1.209000E+000 1.733639E+000 4.174443E-001
 1.212000E+000 1.725246E+000 4.179743E-001
 1.215000E+000 1.832545E+000 4.091032E-001
 1.218000E+000 1.873293E+000 4.088672E-001
 1.221000E+000 1.892225E+000 4.089840E-001
 1.224000E+000 1.757794E+000 4.099410E-001
 1.227000E+000 1.718097E+000 4.104987E-001
 1.230000E+000 1.823599E+000 4.026862E-001
 1.233000E+000 1.842235E+000 4.018144E-001
 1.236000E+000 1.893085E+000 4.019732E-001
 1.239000E+000 1.815956E+000 4.024744E-001
 1.242000E+000 1.726999E+000 4.032514E-001
 1.245000E+000 1.715994E+000 4.038278E-001
 1.248000E+000 1.815014E+000 3.953188E-001
 1.251000E+000 1.853544E+000 3.950944E-001
 1.254000E+000 1.894911E+000 3.952931E-001
 1.257000E+000 1.753324E+000 3.963215E-001
 1.260000E+000 1.706503E+000 3.969409E-001
 1.263000E+000 1.809899E+000 3.895099E-001
 1.266000E+000 1.824434E+000 3.886091E-001
 1.269000E+000 1.871290E+000 3.888363E-001
 1.272000E+000 1.820073E+000 3.893066E-001
 1.275000E+000 1.720460E+000 3.901658E-001
 1.278000E+000 1.707111E+000 3.907783E-001
 1.281000E+000 1.798138E+000 3.826270E-001
 1.284000E+000 1.834502E+000 3.823856E-001
 1.287000E+000 1.891043E+000 3.827076E-001
 1.290000E+000 1.750741E+000 3.837106E-001
 1.293000E+000 1.696409E+000 3.843910E-001
 1.296000E+000 1.797956E+000 3.773544E-001
 1.299000E+000 1.807078E+000 3.764116E-001
 1.302000E+000 1.850874E+000 3.766760E-001
 1.305000E+000 1.824363E+000 3.771454E-001
 1.308000E+000 1.712516E+000 3.780710E-001
 1.311000E+000 1.690194E+000 3.787237E-001
 1.314000E+000 1.791125E+000 3.709295E-001
 1.317000E+000 1.817863E+000 3.706511E-001
 1.320000E+000 1.876673E+000 3.711211E-001
 1.323000E+000 1.751481E+000 3.719921E-001
 1.326000E+000 1.688941E+000 3.727404E-001
 1.329000E+000 1.788068E+000 3.661151E-001
 1.332000E+000 1.791195E+000 3.651234E-001
 1.335000E+000 1.832321E+000 3.654000E-001
 1.338000E+000 1.830157E+000 3.658996E-001
 1.341000E+000 1.709262E+000 3.668956E-001
 1.344000E+000 1.678933E+000 3.675737E-001
 1.347000E+000 1.779782E+000 3.601345E-001
 1.350000E+000 1.801655E+000 3.598050E-001
 1.353000E+000 1.862664E+000 3.603789E-001
 1.356000E+000 1.752607E+000 3.611616E-001
 1.359000E+000 1.682358E+000 3.619706E-001
 1.362000E+000 1.674927E+000 3.626910E-001
 1.365000E+000 1.776136E+000 3.547030E-001
 1.368000E+000 1.814879E+000 3.549653E-001
 1.371000E+000 1.834919E+000 3.555178E-001
 1.374000E+000 1.707131E+000 3.565619E-001
 1.377000E+000 1.669001E+000 3.572609E-001
 1.380000E+000 1.769198E+000 3.501735E-001
 1.383000E+000 1.786007E+000 3.497668E-001
 1.386000E+000 1.835701E+000 3.504086E-001
 1.389000E+000 1.764315E+000 3.511367E-001
 1.392000E+000 1.679018E+000 3.520032E-001
 1.395000E+000 1.669263E+000 3.527260E-001
 1.398000E+000 1.761967E+000 3.450589E-001
 1.401000E+000 1.798502E+000 3.452885E-001
